scenario_cls,BaseSAVPolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label,scenario_label
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.0,0,100.0,0.0,,PseudoBGP
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.2,0,98.0,0.0,,PseudoBGP
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.4,0,72.0,0.0,,PseudoBGP
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.6,0,64.0,0.0,,PseudoBGP
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.8,0,57.99999999999999,0.0,,PseudoBGP
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.1,0,94.0,0.0,,PseudoBGP
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.3,0,0.0,0.0,,PseudoBGP
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.5,0,76.0,0.0,,PseudoBGP
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.7,0,0.0,0.0,,PseudoBGP
SAVScenario,Strict uRPF,DATA,all_wout_ixps,FALSE_NEGATIVE,0.9,0,0.0,0.0,,PseudoBGP